Career_ID,Category,Career_Name,Min_Education,Preferred_Stream,Required_Degree,Entrance_Exams,Duration_Years,Key_Technical_Skills,Key_Soft_Skills,Entry_Salary_LPA,Mid_Salary_LPA,Senior_Salary_LPA,Job_Outlook,Top_Recruiters_India
C001,Healthcare,Cardiologist,PG Degree,Science PCB,"MBBS + MD Cardiology",NEET-PG,8-10,"Echocardiography, Cath Lab, ECG Interpretation","Precision, Empathy, Decision-making",12-18,25-40,50-80,Excellent,"AIIMS, Apollo, Fortis, Max Healthcare"
C002,Healthcare,Neurologist,PG Degree,Science PCB,"MBBS + MD Neurology",NEET-PG,8-10,"EEG, EMG, Neuroimaging, Stroke Management","Analytical thinking, Patience",10-15,20-35,40-60,Excellent,"AIIMS, Narayana Health, Apollo, Kokilaben"
C003,Healthcare,Orthopedic Surgeon,PG Degree,Science PCB,"MBBS + MS Ortho",NEET-PG,8-10,"Joint Replacement, Arthroscopy, Fracture Management","Manual dexterity, Stamina",10-14,18-30,35-55,Excellent,"AIIMS, Medanta, Apollo, Gangaram Hospital"
C004,Healthcare,Pediatrician,PG Degree,Science PCB,"MBBS + MD Pediatrics",NEET-PG,6-8,"Neonatal Care, Vaccination, Growth Assessment","Patience, Communication with children",6-10,12-20,20-35,Excellent,"AIIMS, Rainbow Hospitals, Cloudnine"
C005,Healthcare,Psychiatrist,PG Degree,Science PCB,"MBBS + MD Psychiatry",NEET-PG,6-8,"Psychotherapy, Psychopharmacology, CBT","Empathy, Active listening",6-9,12-18,20-30,Growing,"NIMHANS, AIIMS, Fortis, Mindful Counsellors"
C006,Healthcare,Physiotherapist,Bachelor's,Science PCB,BPT/MPT,University Entrance,4.5,"Therapeutic Exercises, Electrotherapy, Manual Therapy","Physical stamina, Empathy",3-5,6-9,10-15,Good,"Apollo, Fortis, CK Birla, Sports clinics"
C007,Healthcare,Clinical Psychologist,Master's,Any stream,"BA/MSc Psychology + MPhil","Entrance + Interview",6-7,"Psychological Assessment, CBT, Counseling","Empathy, Confidentiality",4-6,7-12,12-20,Growing,"NIMHANS, hospitals, NGOs, private practice"
C008,Healthcare,Nutritionist,Bachelor's,Science PCB,"BSc Nutrition + MSc/Diploma",Merit-based,4-5,"Diet Planning, Nutritional Analysis, Sports Nutrition","Communication, Counseling",3-5,5-8,8-12,Good,"Apollo, Fortis, fitness chains, wellness centers"
C009,Healthcare,Medical Lab Technologist,Bachelor's,Science PCB,BSc MLT,Merit-based,3-4,"Lab Equipment Operation, Pathology Testing, Quality Control","Attention to detail, Accuracy",2.5-4,4-6,6-9,Stable,"Dr Lal Path Labs, SRL Diagnostics, hospitals"
C010,Healthcare,Radiologist,PG Degree,Science PCB,"MBBS + MD Radiology",NEET-PG,8-10,"MRI/CT Interpretation, Ultrasound, X-ray","Visual precision, Diagnostic ability",12-18,24-36,40-60,Excellent,"AIIMS, Apollo, Max, independent imaging centers"
C011,Healthcare,Dentist,Bachelor's,Science PCB,BDS,NEET-UG,5,"Oral Surgery, Root Canal, Prosthodontics","Manual dexterity, Patient care",3-6,6-10,12-20,Good,"Clove Dental, Axiss Dental, Fortis, own clinic"
C012,Healthcare,Veterinarian,Bachelor's,Science PCB,BVSc,"NEET-UG/ICAR",5.5,"Animal Surgery, Vaccination, Disease Diagnosis","Compassion, Observation",3-5,6-9,10-15,Growing,"Government depts, NGOs, private clinics, Zoos"
C013,Healthcare,Pharmacist,Bachelor's,"Science PCB/PCM",B.Pharm,"Entrance/merit",4,"Drug Compounding, Pharmacology, Patient Counseling","Attention to detail, Ethics",3-5,5-8,8-12,Stable,"Apollo Pharmacy, MedPlus, Cipla, Sun Pharma"
C014,Healthcare,Occupational Therapist,Bachelor's,Science PCB,BOT/MOT,Entrance,4.5,"Rehabilitation Techniques, Adaptive Equipment","Patience, Creativity",3-4,5-7,8-12,Good,"Rehabilitation centers, AIIMS, special schools"
C015,Healthcare,Speech Therapist,Master's,Science PCB,"BASLP + MASLP",Entrance,5-6,"Speech Therapy, Language Disorders, Swallowing Therapy","Patience, Communication",3-5,5-8,8-12,Growing,"AYJNISHD, hospitals, rehabilitation centers"
C016,Information Technology,Full Stack Developer,Bachelor's,Science Maths,"B.Tech/BCA/MCA",JEE/University,3-4,"JavaScript, React, Node.js, MongoDB, Git","Problem-solving, Adaptability",4-8,10-18,20-35,Excellent,"TCS, Infosys, Microsoft, Amazon, Google"
